Date,Open,High,Low,Close,Adj Close,Volume
2011-06-02,12.375000,12.427857,12.296429,12.360714,10.576389,338783200
2011-06-03,12.256429,12.333215,12.214643,12.265715,10.495105,313250000
2011-06-06,12.346429,12.394643,12.064643,12.072857,10.330082,461941200
2011-06-07,12.077500,12.079286,11.853572,11.858571,10.146735,529785200
2011-06-08,11.849286,11.957143,11.808928,11.865714,10.152843,333723600
2011-06-09,11.901786,11.916785,11.812500,11.838928,10.129927,275088800
2011-06-10,11.805357,11.845000,11.625357,11.639286,9.959100,433955200
2011-06-13,11.685715,11.725357,11.609643,11.664286,9.980492,329473200
2011-06-14,11.785714,11.901786,11.761071,11.872857,10.158956,334569200
2011-06-15,11.776786,11.796429,11.602858,11.669642,9.985076,399196000
2011-06-16,11.675000,11.738571,11.368929,11.612857,9.936486,510591200
2011-06-17,11.749643,11.758928,11.405714,11.437857,9.786750,615020000
2011-06-20,11.334286,11.346429,11.089286,11.261429,9.635789,640645600
2011-06-21,11.310000,11.635715,11.257143,11.617857,9.940765,493382400
2011-06-22,11.612857,11.746428,11.513572,11.521786,9.858562,390583200
2011-06-23,11.390715,11.846071,11.361428,11.829643,10.121980,559759200
2011-06-24,11.834642,11.898214,11.610357,11.655357,9.972851,439807200
2011-06-27,11.699643,11.925000,11.687500,11.858571,10.146735,339813600
2011-06-28,11.916072,12.025000,11.908571,11.973572,10.245131,294299600
2011-06-29,12.001429,12.013214,11.852858,11.930000,10.207849,352545200
2011-06-30,11.953571,12.004642,11.887143,11.988214,10.257660,322954800
2011-07-01,11.998215,12.267858,11.935715,12.259286,10.489601,435313200
2011-07-05,12.250000,12.493929,12.232142,12.479643,10.678148,355054000
2011-07-06,12.462500,12.646428,12.382500,12.562857,10.749349,444626000
2011-07-07,12.666785,12.785714,12.642858,12.757143,10.915593,399663600
2011-07-08,12.619286,12.857142,12.578571,12.846786,10.992290,489633200
2011-07-11,12.726429,12.848928,12.600715,12.642858,10.817802,442674400
2011-07-12,12.626071,12.774285,12.450714,12.633928,10.810165,451609200
2011-07-13,12.797500,12.857142,12.727858,12.786428,10.940647,391638800
2011-07-14,12.893214,12.914643,12.726429,12.777500,10.933009,430533600
2011-07-15,12.898929,13.035714,12.827500,13.032857,11.151504,484467200
2011-07-18,13.051071,13.380357,13.045714,13.350000,11.422865,572653200
2011-07-19,13.500000,13.523214,13.332857,13.458928,11.516070,819145600
2011-07-20,14.147142,14.152500,13.785714,13.817857,11.823185,941340400
2011-07-21,13.819643,13.930715,13.710714,13.831786,11.835105,526534400
2011-07-22,13.868571,14.108929,13.848214,14.046429,12.018764,516728800
2011-07-25,13.941072,14.285714,13.915000,14.232142,12.177663,589806000
2011-07-26,14.285714,14.446428,14.274285,14.407500,12.327711,476582400
2011-07-27,14.306786,14.380000,14.005357,14.021071,11.997065,659324400
2011-07-28,13.986428,14.178214,13.861786,13.993571,11.973534,594034000
2011-07-29,13.844286,14.112500,13.714286,13.945714,11.932584,632584400
2011-08-01,14.206429,14.267858,14.013214,14.169642,12.124187,612836000
2011-08-02,14.201786,14.210714,13.869643,13.889643,11.884606,639539600
2011-08-03,13.963572,14.055357,13.651428,14.020357,11.996453,732508000
2011-08-04,13.907500,13.975715,13.476786,13.477500,11.531960,871407600
2011-08-05,13.587143,13.696428,12.948929,13.343572,11.417363,1204590800
2011-08-08,12.917500,13.134643,12.607857,12.614643,10.793660,1143833600
2011-08-09,12.903571,13.378928,12.678572,13.357500,11.429283,1082583600
2011-08-10,13.255357,13.380357,12.946428,12.988929,11.113916,878656800
2011-08-11,13.232857,13.408929,13.025714,13.346429,11.419811,741969200
2011-08-12,13.502500,13.558572,13.365357,13.463928,11.520348,528976000
2011-08-15,13.558214,13.748929,13.503214,13.693214,11.716537,460544000
2011-08-16,13.625714,13.691786,13.430715,13.588572,11.626998,498750000
2011-08-17,13.653929,13.732857,13.500000,13.587143,11.625774,442061200
2011-08-18,13.244286,13.308928,12.906072,13.073215,11.186036,851435200
2011-08-19,12.934643,13.107142,12.714286,12.715357,10.879836,775888400
2011-08-22,13.018214,13.031428,12.681786,12.730000,10.892364,535315200
2011-08-23,12.867857,13.344286,12.750000,13.342857,11.416754,656835200
2011-08-24,13.338214,13.534286,13.235714,13.435000,11.495599,626267600
2011-08-25,13.038571,13.408929,13.035714,13.347143,11.420419,871346000
2011-08-26,13.256071,13.707143,13.242857,13.699286,11.721732,641477200
2011-08-29,13.863571,13.982142,13.857142,13.927500,11.917002,405269200
2011-08-30,13.866072,13.994286,13.793214,13.928214,11.917611,417922400
2011-08-31,13.948929,14.002857,13.637857,13.743929,11.759930,522586400
2011-09-01,13.779285,13.833571,13.597143,13.608214,11.643806,343725200
2011-09-02,13.383572,13.500000,13.279643,13.358929,11.430505,438939200
2011-09-06,13.120358,13.583215,13.088572,13.562143,11.604383,509698000
2011-09-07,13.770000,13.771428,13.642858,13.711785,11.732427,350576800
2011-09-08,13.657143,13.878928,13.653929,13.719286,11.738845,416158400
2011-09-09,13.711785,13.785714,13.393572,13.481428,11.535322,564813200
2011-09-12,13.321428,13.602858,13.282143,13.569285,11.610497,467832400
2011-09-13,13.647857,13.793214,13.580358,13.736428,11.753511,440560400
2011-09-14,13.822143,14.007500,13.777143,13.903571,11.896525,534724400
2011-09-15,13.979643,14.059286,13.925000,14.034286,12.008369,417818800
2011-09-16,14.126429,14.303572,14.108214,14.303572,12.238785,698513200
2011-09-19,14.178572,14.758214,14.114285,14.701072,12.578904,823860800
2011-09-20,14.830358,15.102143,14.685357,14.766071,12.634519,775754000
2011-09-21,14.987143,15.056786,14.714286,14.719286,12.594487,605976000
2011-09-22,14.322500,14.636429,14.167857,14.350715,12.279126,968480800
2011-09-23,14.295714,14.526428,14.280357,14.439285,12.354911,546277200
2011-09-26,14.280714,14.427857,13.975000,14.398929,12.320378,812876400
2011-09-27,14.597500,14.616072,14.216429,14.259286,12.200890,632497600
2011-09-28,14.292500,14.419286,14.161072,14.178928,12.132133,429637600
2011-09-29,14.354285,14.364643,13.793214,13.948929,11.935335,651086800
